2026-06-20T02:40:27.040829123Z [inf]  Starting Container
2026-06-20T02:40:27.776546999Z [inf]  Pyromod is working! If you like pyromod, please star it at https://github.com/usernein/pyromod
2026-06-20T02:40:32.930288790Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("t_join_a") in group 0 from "plugins.tournament"
2026-06-20T02:40:32.930292186Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("t_join_b") in group 0 from "plugins.tournament"
2026-06-20T02:40:32.930295484Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("t_join_c") in group 0 from "plugins.tournament"
2026-06-20T02:40:32.930299182Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("t_score_cmd") in group 0 from "plugins.tournament"
2026-06-20T02:40:32.930302114Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("t_start_cmd") in group 0 from "plugins.tournament"
2026-06-20T02:40:32.930304964Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("t_result_cmd") in group 0 from "plugins.tournament"
2026-06-20T02:40:32.930307958Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("t_end_cmd") in group 0 from "plugins.tournament"
2026-06-20T02:40:32.936823503Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("group_start_menu") in group 0 from "plugins.solo"
2026-06-20T02:40:32.936827886Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] CallbackQueryHandler("choose_solo_mode") in group 0 from "plugins.solo"
2026-06-20T02:40:32.936831209Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] CallbackQueryHandler("solo_set_overs") in group 0 from "plugins.solo"
2026-06-20T02:40:32.936834452Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] CallbackQueryHandler("join_solo_callback") in group 0 from "plugins.solo"
2026-06-20T02:40:32.936837649Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("join_solo_cmd") in group 0 from "plugins.solo"
2026-06-20T02:40:32.936840701Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("leave_solo_cmd") in group 0 from "plugins.solo"
